Date,Net Sales,Orders,Guests
07/21/2023,711.52,24,24,
07/22/2023,883.02,22,22,
07/23/2023,997.24,27,27,
07/24/2023,0,0,0,
07/25/2023,675.65,22,22,
07/26/2023,781.45,23,23,
07/27/2023,712.03,17,17,
07/28/2023,812.41,27,27,
07/29/2023,1162.06,34,34,
07/30/2023,1024.12,26,26,
07/31/2023,0,0,0,
08/01/2023,543.56,19,19,
08/02/2023,612.33,21,21,
08/03/2023,546.1,15,15,
08/04/2023,925.24,28,28,
08/05/2023,777.01,26,26,
08/06/2023,881.6,24,24,
08/07/2023,0,0,0,
08/08/2023,295.79,11,11,
08/09/2023,408.16,18,18,
08/10/2023,722.55,18,18,
08/11/2023,924.88,27,27,
08/12/2023,1041.24,29,29,
08/13/2023,1065.23,27,27,
08/14/2023,0,0,0,
08/15/2023,330.27,11,11,
08/16/2023,317.73,9,9,
08/17/2023,174.86,6,6,
08/18/2023,939.87,30,30,
08/19/2023,904.78,28,28,
08/20/2023,825.28,27,27,
08/21/2023,0,0,0,
08/22/2023,914.2,13,13,
08/23/2023,374.24,15,15,
08/24/2023,371.7,12,12,
08/25/2023,1249.59,40,40,
08/26/2023,1550.85,34,34,
08/27/2023,744.82,24,24,
08/28/2023,0,0,0,
08/29/2023,775.03,28,28,
08/30/2023,370.71,14,14,
08/31/2023,556.62,25,25,
09/01/2023,908.81,32,32,
09/02/2023,1051.27,29,29,
09/03/2023,1218.26,35,35,
09/04/2023,0,0,0,
09/05/2023,440.58,13,13,
09/06/2023,249.86,10,10,
09/07/2023,681.81,22,22,
09/08/2023,1051.73,31,31,
09/09/2023,1397.6,32,32,
09/10/2023,1154.45,35,35,
09/11/2023,0,0,0,
09/12/2023,378.69,15,15,
09/13/2023,121.4,9,9,
09/14/2023,885.84,19,19,
09/15/2023,911.47,30,30,
09/16/2023,1021.82,28,28,
09/17/2023,672.59,21,21,
09/18/2023,0,0,0,
09/19/2023,608.64,20,20,
09/20/2023,592.63,16,16,
09/21/2023,316.77,12,12,
09/22/2023,916.95,27,27,
09/23/2023,969.72,31,31,
09/24/2023,371.24,12,12,
09/25/2023,21.99,1,1,
09/26/2023,556.59,16,16,
09/27/2023,477.65,17,17,
09/28/2023,552.15,15,15,
09/29/2023,903.47,26,26,
09/30/2023,946.9,31,31,
10/01/2023,538.58,17,17,
10/02/2023,0,0,0,
10/03/2023,289.23,9,9,
10/04/2023,350.21,12,12,
10/05/2023,481.62,17,17,
10/06/2023,1207.26,37,37,
10/07/2023,742.85,23,23,
10/08/2023,753,19,19,
10/09/2023,24.97,1,1,
10/10/2023,485.15,20,20,
10/11/2023,572.49,18,18,
10/12/2023,370.24,12,12,
10/13/2023,707.5,25,25,
10/14/2023,1586.8,26,26,
10/15/2023,788.07,23,23,
10/16/2023,0,0,0,
10/17/2023,382.2,19,19,
10/18/2023,410.71,14,14,
10/19/2023,231.33,8,8,
10/20/2023,855.34,26,26,
10/21/2023,956.21,30,30,
10/22/2023,664.57,15,15,
10/23/2023,0,0,0,
10/24/2023,311.71,10,10,
10/25/2023,412.75,14,14,
10/26/2023,310.3,11,11,
10/27/2023,342.78,15,15,
10/28/2023,539.1,18,18,
10/29/2023,775.87,21,21,
10/30/2023,0,0,0,
10/31/2023,692.43,14,14,
11/01/2023,376.71,13,13,
11/02/2023,497.17,23,23,
11/03/2023,555.1,21,21,
11/04/2023,1172.17,37,37,
11/05/2023,1021.71,31,31,
11/06/2023,0,0,0,
11/07/2023,305.31,10,10,
11/08/2023,320.4,11,11,
11/09/2023,633.53,19,19,
11/10/2023,832.47,29,29,
11/11/2023,898.27,31,31,
11/12/2023,671.96,20,20,
