Date,Net Sales,Orders,Guests
07/19/2024,883.98,26,26,
07/20/2024,947.9,29,29,
07/21/2024,989.9,32,32,
07/22/2024,0,0,0,
07/23/2024,467.71,14,14,
07/24/2024,456.19,15,15,
07/25/2024,516.17,16,16,
07/26/2024,1057.94,23,23,
07/27/2024,1451.99,37,37,
07/28/2024,1055.36,29,29,
07/29/2024,0,0,0,
07/30/2024,376.78,14,14,
07/31/2024,376.27,10,10,
08/01/2024,774.08,15,15,
08/02/2024,490.13,14,14,
08/03/2024,837.41,29,29,
08/04/2024,505.68,17,17,
08/05/2024,0,0,0,
08/06/2024,918.92,16,16,
08/07/2024,176.37,5,5,
08/08/2024,439.67,17,17,
08/09/2024,1058.48,31,31,
08/10/2024,807.52,28,28,
08/11/2024,591.6,18,18,
08/12/2024,9.99,1,1,
08/13/2024,267.88,6,6,
08/14/2024,330.27,8,8,
08/15/2024,606.56,16,16,
08/16/2024,928.82,35,35,
08/17/2024,1530.56,35,35,
08/18/2024,910.81,25,25,
08/19/2024,0,0,0,
08/20/2024,558.18,18,18,
08/21/2024,228.71,9,9,
08/22/2024,265.83,8,8,
08/23/2024,825.86,30,30,
08/24/2024,1059.75,12,12,
08/25/2024,595.19,20,20,
08/26/2024,0,0,0,
08/27/2024,320.78,13,13,
08/28/2024,377.3,14,14,
08/29/2024,352.3,11,11,
08/30/2024,1420.1,37,37,
08/31/2024,1492.1,35,35,
09/01/2024,1236.51,31,31,
09/02/2024,0,0,0,
09/03/2024,673.12,11,11,
09/04/2024,251.37,8,8,
09/05/2024,333.3,8,8,
09/06/2024,1015.95,28,28,
09/07/2024,1150.59,39,39,
09/08/2024,535.1,21,21,
09/09/2024,0,0,0,
09/10/2024,173.92,6,6,
09/11/2024,349.75,13,13,
09/12/2024,250.79,8,8,
09/13/2024,1048.41,37,37,
09/14/2024,701.15,22,22,
09/15/2024,1015.87,25,25,
09/16/2024,0,0,0,
09/17/2024,164.93,7,7,
09/18/2024,306.84,11,11,
09/19/2024,206.4,7,7,
09/20/2024,1185,25,25,
09/21/2024,1463.38,39,39,
09/22/2024,671.53,22,22,
09/23/2024,0,0,0,
09/24/2024,283.27,10,10,
09/25/2024,199.89,7,7,
09/26/2024,498.75,16,16,
09/27/2024,1360.19,52,52,
09/28/2024,1104.33,41,41,
09/29/2024,652.6,17,17,
09/30/2024,0,0,0,
10/01/2024,319.28,10,10,
10/02/2024,234.3,12,12,
10/03/2024,233.38,8,8,
10/04/2024,1373.72,34,34,
10/05/2024,1495.13,40,40,
10/06/2024,586.07,22,22,
10/07/2024,0,0,0,
10/08/2024,253.85,9,9,
10/09/2024,382.26,11,11,
10/10/2024,431.12,15,15,
10/11/2024,917.27,28,28,
10/12/2024,469.18,16,16,
10/13/2024,822.44,26,26,
10/14/2024,0,0,0,
10/15/2024,254.34,14,14,
10/16/2024,360.28,11,11,
10/17/2024,570.18,12,12,
10/18/2024,1030.35,32,32,
10/19/2024,1112.31,32,32,
10/20/2024,501.76,14,14,
10/21/2024,0,0,0,
10/22/2024,379.21,12,12,
10/23/2024,362.79,16,16,
10/24/2024,505.71,13,13,
10/25/2024,1020.09,32,32,
10/26/2024,1157.11,32,32,
10/27/2024,1206.31,33,33,
10/28/2024,0,0,0,
10/29/2024,268.85,10,10,
10/30/2024,406.27,15,15,
10/31/2024,1356.48,22,22,
11/01/2024,1115.64,22,22,
11/02/2024,756.61,19,19,
11/03/2024,740.84,22,22,
11/04/2024,0,0,0,
11/05/2024,463.56,15,15,
11/06/2024,264.83,10,10,
11/07/2024,303.26,8,8,
11/08/2024,971.48,33,33,
11/09/2024,849.03,25,25,
11/10/2024,724.56,23,23,
11/11/2024,0,0,0,
11/12/2024,145.38,8,8,
