Type,Menu,Menu group,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Deferred,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
menuItem,Doordash Menu,Side,Red Peppers Bags 3,,,,[],false,2.0,0.99,0.99,1.98,0.0,0.0,0.0,1.98,0.16,0.0,0.0
menuItem,Doordash Menu,Side,Parmesan Bags 3,,,,[],false,4.0,0.99,0.99,3.96,0.0,0.0,0.0,3.96,0.32,0.0,0.0
menuItem,Doordash Menu,Side,Side Olives,,,,[],false,3.0,0.99,0.99,2.97,0.0,0.0,0.0,2.97,0.24,0.0,0.0
menuItem,Doordash Menu,Side,Side Cilantro,,,,[],false,1.0,0.99,0.99,0.99,0.0,0.0,0.0,0.99,0.08,0.0,0.0
menuItem,Doordash Menu,Side,Side Basil,,,,[],false,3.0,0.99,0.99,2.97,0.0,0.0,0.0,2.97,0.24,0.0,0.0
"",Open items,,,,,,,,510.0,6.80,,3470.0,0.0,0.0,0.0,3470.0,0.0,0.0,0.0
"",Open items,Open Food,,,,,,,510.0,6.80,,3470.0,0.0,0.0,0.0,3470.0,0.0,0.0,0.0
openItem,Open items,Open Food,Naga Chicken,,,,[],false,5.0,18.00,18.00,90.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0
openItem,Open items,Open Food,Pepperoni,,,,[],false,5.0,16.00,16.00,80.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0
openItem,Open items,Open Food,Wrap,,,,[],false,500.0,6.60,6.60,3300.0,0.0,0.0,0.0,3300.0,0.0,0.0,0.0
