Sales Category,Item Name,Modifier,,Avg Price,Quantity,Gross Sales,Discount Amount,Net Sales
No Sales Category,Meatlovers Pizza,16 inces XLARGE,,,202,4862.98,0,4862.98,
No Sales Category,Meatlovers Pizza,14" LARGE,,,253,5573.47,0,5573.47,
No Sales Category,Meatlovers Pizza,Sauteed Ghee Mushrooms,,,13,25.87,0,25.87,
No Sales Category,Meatlovers Pizza,Onion,,,19,18.81,0,18.81,
No Sales Category,Meatlovers Pizza,Jhura Beef,,,3,8.97,0,8.97,
No Sales Category,Meatlovers Pizza,Pepperoni on half only please.,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Hot honey on the side plz
,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Please put enough marina sauce| last time it barely had any 😭,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,*No parmesan please
**Please double cut,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Turkey Bacon,,,4,11.96,0,11.96,
No Sales Category,Meatlovers Pizza,Italian Sausage,,,8,23.92,0,23.92,
No Sales Category,Meatlovers Pizza,Jalapeño o. Half of pizza only,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,No turkey bacon please,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Order Note: PARTY CUT all 3 pies,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Order Note: Halal,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Order Note: Thank you!,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Pepperoni,,,10,29.9,0,29.9,
No Sales Category,Meatlovers Pizza,Order Note: Extra meat toppings,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Hot Honey,,,20,20.8,0,20.8,
No Sales Category,Meatlovers Pizza,No pepperoni please,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Order Note: Paper plates and napkins if possible please,,,2,0,0,0,
No Sales Category,Meatlovers Pizza,Have allergy to chicken and chicken broth. Verify these are not in any of the toppings. 
,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Order Note: Extra sauce on pizza,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Order Note: Cut the pizzas into square slices.,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,extra sauce on pizza please,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Order Note: extra sauce on pizzas please,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,No hot spices,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,No Turkey Bacon,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Order Note: Parmesan and pepper packets please,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Jalapeños on have of pizza please,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Hot honey on side,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Order Note: Doordash Marketplace,,,17,0,0,0,
No Sales Category,Meatlovers Pizza,Black Olives,,,9,14.91,0,14.91,
No Sales Category,Meatlovers Pizza,Green Peppers,,,14,13.86,0,13.86,
No Sales Category,Meatlovers Pizza,Jalapeno,,,25,24.75,0,24.75,
No Sales Category,Meatlovers Pizza,1/2 meat lovers 1/2 pepperoni only. Thanks!,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Cut pizza up into squares instead of slices.,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Order Note: 06,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Extra Cheese,,,6,11.94,0,11.94,
No Sales Category,Meatlovers Pizza,+ 2 sides red pizza sauce for dipping,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Can we have extra meat toppings!
Thanks,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Halal please,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Order Note: Pepperoni on half only please,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Chicken Chunks,,,5,14.95,0,14.95,
No Sales Category,Meatlovers Pizza,Cilantro,,,6,5.94,0,5.94,
No Sales Category,Meatlovers Pizza,Swap turkey bacon for jalapeños if possible| please,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,If it is possible can you put Alfredo sauce instead of marinara? If not than marinara is fine,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,please cut 7 slices,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Order Note: Halal only please. Thank you.,,,1,0,0,0,
No Sales Category,Meatlovers Pizza,Artichoke Hearts,,,1,1.99,0,1.99,
No Sales Category,4Cheez with Hot Honey,,,20.056744444444444,199,3989.13,0,3989.13,
No Sales Category,4Cheez with Hot Honey,Sauteed Ghee Mushrooms,,,3,5.97,0,5.97,
No Sales Category,4Cheez with Hot Honey,Chicken Chunks,,,3,8.97,0,8.97,
No Sales Category,4Cheez with Hot Honey,Onion,,,13,12.87,0,12.87,
No Sales Category,4Cheez with Hot Honey,Italian Sausage,,,8,23.92,0,23.92,
No Sales Category,4Cheez with Hot Honey,Hot Honey,,,6,7.94,0,7.94,
No Sales Category,4Cheez with Hot Honey,Jhura Beef,,,3,8.97,0,8.97,
No Sales Category,4Cheez with Hot Honey,Black Olives,,,1,1.99,0,1.99,
No Sales Category,4Cheez with Hot Honey,16" XLARGE,,,65,1362.35,0,1362.35,
No Sales Category,4Cheez with Hot Honey,Order Note: Doordash Marketplace,,,13,0,0,0,
No Sales Category,4Cheez with Hot Honey,Jalapeno,,,4,3.96,0,3.96,
No Sales Category,4Cheez with Hot Honey,Well done,,,1,0,0,0,
No Sales Category,4Cheez with Hot Honey,Order Note: 656846,,,1,0,0,0,
No Sales Category,4Cheez with Hot Honey,Order Note: Olives only on half of the harissa chicken pizza,,,1,0,0,0,
No Sales Category,4Cheez with Hot Honey,Pleas put the full complement of pepperoni. I'm not afraid of the grease.,,,1,0,0,0,
No Sales Category,4Cheez with Hot Honey,14" LARGE,,,134,2425.66,0,2425.66,
No Sales Category,4Cheez with Hot Honey,Pepperoni,,,37,110.63,0,110.63,
No Sales Category,4Cheez with Hot Honey,Turkey Bacon,,,2,5.98,0,5.98,
No Sales Category,4Cheez with Hot Honey,Green Peppers,,,3,2.97,0,2.97,
No Sales Category,4Cheez with Hot Honey,Half pepperoni,,,1,0,0,0,
No Sales Category,4Cheez with Hot Honey,Order Note: The last time I ordered (not this time)| I had enough points for a free pizza| but  for some reason it wouldn't count it. Now the points are gone. IDK if there's anything to be done. Plus| I  wouldn't believe me either| but it happened.,,,1,0,0,0,
No Sales Category,4Cheez with Hot Honey,Cilantro,,,3,2.97,0,2.97,
No Sales Category,4Cheez with Hot Honey,Extra Cheese,,,2,3.98,0,3.98,
No Sales Category,4Cheez with Hot Honey,Divide by 12,,,1,0,0,0,
No Sales Category,4Cheez with Hot Honey,Please put pepperoni on only half! Thanks!,,,1,0,0,0,
No Sales Category,4Cheez with Hot Honey,Well done (crispy) if possible| please.,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,,,18.490559393939392,454,8329.57,0,8329.57,
No Sales Category,Classic Cheese Pizza,16" XLARGE,,,189,3585.68,0,3585.68,
No Sales Category,Classic Cheese Pizza,Order Note: Doordash Marketplace,,,59,0,0,0,
No Sales Category,Classic Cheese Pizza,Baked to Golden on the top lease,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,Black Olives,,,6,9.94,0,9.94,
No Sales Category,Classic Cheese Pizza,Jhura Beef,,,2,5.98,0,5.98,
No Sales Category,Classic Cheese Pizza,Order Note: adding to my order,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,Extra basil on the Bros pizza please :),,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,Order Note: Well done,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,NO BASIL PLEASE!,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,Order Note: 4 sides of red pizza sauce plz,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,Half suasage and half cheese,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,Green Peppers,,,15,14.85,0,14.85,
No Sales Category,Classic Cheese Pizza,Hot Honey,,,9,11.91,0,11.91,
No Sales Category,Classic Cheese Pizza,Order Note: Margherita Style please,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,No cilantro please,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,No basil. For kids,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,No basil please.,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,Well done,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,14" LARGE,,,265,4448.35,0,4448.35,
No Sales Category,Classic Cheese Pizza,Sauteed Ghee Mushrooms,,,17,33.83,0,33.83,
No Sales Category,Classic Cheese Pizza,Extra Cheese,,,13,25.87,0,25.87,
No Sales Category,Classic Cheese Pizza,Turkey Bacon,,,5,14.95,0,14.95,
No Sales Category,Classic Cheese Pizza,Pepperoni,,,24,71.76,0,71.76,
No Sales Category,Classic Cheese Pizza,Half cheese and half pepperoni,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,No basil,,,2,0,0,0,
No Sales Category,Classic Cheese Pizza,Baked well done please.,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,Jalapeños on the side,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,deliver to 3108 Chimneyrock Dr.
Sharyn Smith,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,Order Note: Add red dipping marinara sauce,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,Order Note: Thank you!,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,Can half be pepperoni,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,+4 sides of red pizza sauce,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,Order Note: Doorbell is broken. You can leave outside front door. Thanks!,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,Add pepperoni to half only,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,Onion,,,17,16.83,0,16.83,
No Sales Category,Classic Cheese Pizza,No basil please,,,3,0,0,0,
No Sales Category,Classic Cheese Pizza,Jalapeno,,,12,11.88,0,11.88,
No Sales Category,Classic Cheese Pizza,Margherita style and extra crispy please,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,Half Pepperoni Half Plain Cheese,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,Italian Sausage,,,13,38.87,0,38.87,
No Sales Category,Classic Cheese Pizza,Chicken Chunks,,,13,38.87,0,38.87,
No Sales Category,Classic Cheese Pizza,Please put just a little extra sauce on the pizza,,,1,0,0,0,
No Sales Category,Classic Cheese Pizza,Well-done,,,1,0,0,0,
No Sales Category,Veggie Pizza,,,19.22188202247191,108,2084.47,0,2084.47,
No Sales Category,Veggie Pizza,14" LARGE,,,68,1211.32,0,1211.32,
No Sales Category,Veggie Pizza,16" XLARGE,,,40,787.6,0,787.6,
No Sales Category,Veggie Pizza,Jalapeno,,,10,9.9,0,9.9,
No Sales Category,Veggie Pizza,Extra Cheese,,,2,3.98,0,3.98,
No Sales Category,Veggie Pizza,No olives please,,,1,0,0,0,
No Sales Category,Veggie Pizza,No black olives,,,1,0,0,0,
No Sales Category,Veggie Pizza,Jhura Beef,,,1,2.99,0,2.99,
No Sales Category,Veggie Pizza,No onions please,,,1,0,0,0,
No Sales Category,Veggie Pizza,Divide by 12,,,1,0,0,0,
No Sales Category,Veggie Pizza,No olives,,,2,0,0,0,
No Sales Category,Veggie Pizza,Pepperoni,,,9,26.91,0,26.91,
No Sales Category,Veggie Pizza,No olives please :),,,1,0,0,0,
No Sales Category,Veggie Pizza,please add jalapenos on half the pizza| thank you,,,1,0,0,0,
No Sales Category,Veggie Pizza,Black Olives,,,1,1.99,0,1.99,
No Sales Category,Veggie Pizza,Hot honey on half| extra onions pls,,,1,0,0,0,
No Sales Category,Veggie Pizza,Order Note: Please make it well done,,,1,0,0,0,
