Sales Category,Item Name,Modifier,,Avg Price,Quantity,Gross Sales,Discount Amount,Net Sales
No Sales Category,Harissa Chicken,No Olives,,,1,0,0,0,
No Sales Category,Harissa Chicken,Order Note: Mild,,,1,0,0,0,
No Sales Category,Harissa Chicken,No Cilantro please. We don't want cilantro.,,,1,0,0,0,
No Sales Category,Harissa Chicken,No olives please,,,1,0,0,0,
No Sales Category,Harissa Chicken,Chicken Chunks,,,1,2.99,0,2.99,
No Sales Category,Harissa Chicken,Olives only on half of pizza please,,,1,0,0,0,
No Sales Category,Harissa Chicken,Order Note: No olives,,,1,0,0,0,
No Sales Category,Harissa Chicken,Order Note: Doordash Marketplace,,,8,0,0,0,
No Sales Category,Harissa Chicken,Onion,,,6,5.94,0,5.94,
No Sales Category,Harissa Chicken,no parmesan please!,,,1,0,0,0,
No Sales Category,Harissa Chicken,Aoli on the side| not on the pizza,,,1,0,0,0,
No Sales Category,Harissa Chicken,16" XLARGE,,,84,1949.16,0,1949.16,
No Sales Category,Harissa Chicken,No olives,,,3,0,0,0,
No Sales Category,Harissa Chicken,Hot Honey,,,2,1.98,0,1.98,
No Sales Category,Harissa Chicken,Light on the olives please,,,1,0,0,0,
No Sales Category,Harissa Chicken,Order Note: Olives on half please,,,1,0,0,0,
No Sales Category,Harissa Chicken,Divide by 12,,,1,0,0,0,
No Sales Category,Harissa Chicken,Green Peppers,,,3,2.97,0,2.97,
No Sales Category,Harissa Chicken,Order Note: Please have the pizza ready for pick up at 630pm. Thank you,,,1,0,0,0,
No Sales Category,Harissa Chicken,No cilantro please,,,1,0,0,0,
No Sales Category,Aged Parmesan,,,1.99,30,59.7,0,59.7,
No Sales Category,Aged Parmesan,Order Note: Doordash Marketplace,,,9,0,0,0,
No Sales Category,Tomato Basil Pasta,,,10.881754385964912,22,243.7,0,243.7,
No Sales Category,Tomato Basil Pasta,No hot spices,,,1,0,0,0,
No Sales Category,Tomato Basil Pasta,NO CHEESE PLEASE,,,1,0,0,0,
No Sales Category,Tomato Basil Pasta,Sauce on the side please,,,1,0,0,0,
No Sales Category,Tomato Basil Pasta,Italian Sausage,,,5,14.95,0,14.95,
No Sales Category,Tomato Basil Pasta,Chicken,,,2,5.98,0,5.98,
No Sales Category,Tomato Basil Pasta,Order Note: Doordash Marketplace,,,1,0,0,0,
No Sales Category,Tomato Basil Pasta,Ghee Mushroom,,,1,2.99,0,2.99,
No Sales Category,Beef Pepperoni,,,20.43366061690525,644,12988.13,0,12988.13,
No Sales Category,Beef Pepperoni,Green Peppers,,,13,12.87,0,12.87,
No Sales Category,Beef Pepperoni,Hot Honey,,,40,42.6,0,42.6,
No Sales Category,Beef Pepperoni,extra marinara sauce please,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Onion,,,18,17.82,0,17.82,
No Sales Category,Beef Pepperoni,Order Note: Please see sauce substitution request on cheese pizza order,,,1,0,0,0,
No Sales Category,Beef Pepperoni,I selected extra pepperoni- make sure to put that extra pepperoni on there. Thank you :-),,,1,0,0,0,
No Sales Category,Beef Pepperoni,Jhura Beef,,,1,2.99,0,2.99,
No Sales Category,Beef Pepperoni,Extra sauce please!,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Extra basil please,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Order Note: excited to try your pizzas,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Order Note: Gate code 8888 please call if lost,,,1,0,0,0,
No Sales Category,Beef Pepperoni,1/2 cheese
1/2 pepperoni,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Order Note: Keep ready for Iftar thank you,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Chicken Chunks,,,2,5.98,0,5.98,
No Sales Category,Beef Pepperoni,Jalapeños on half only,,,3,0,0,0,
No Sales Category,Beef Pepperoni,Light on the cheese,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Order Note: Leave at front door,,,1,0,0,0,
No Sales Category,Beef Pepperoni,14" LARGE,,,384,7104.16,0,7104.16,
No Sales Category,Beef Pepperoni,Order Note: Doordash Marketplace,,,59,0,0,0,
No Sales Category,Beef Pepperoni,Order Note: pls add extra sauce.  Thank you,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Green peppers on half,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Artichoke Hearts,,,1,1.99,0,1.99,
No Sales Category,Beef Pepperoni,Extra basil please!,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Order Note: No olives on the veggie please,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Order Note: Cilantro on side please,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Light sauce,,,2,0,0,0,
No Sales Category,Beef Pepperoni,No basil,,,1,0,0,0,
No Sales Category,Beef Pepperoni,no spicy please,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Add extra basil please!,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Order Note: First time eating here| excited to try it!,,,1,0,0,0,
No Sales Category,Beef Pepperoni,If you can cut these in party style/squares that would be awesome! If not don't sweat it <3,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Extra sauce,,,1,0,0,0,
No Sales Category,Beef Pepperoni,No basil please,,,1,0,0,0,
No Sales Category,Beef Pepperoni,16" XLARGE,,,260,5557.97,0,5557.97,
No Sales Category,Beef Pepperoni,Sauteed Ghee Mushrooms,,,28,55.72,0,55.72,
No Sales Category,Beef Pepperoni,Jalapeno,,,31,30.69,0,30.69,
No Sales Category,Beef Pepperoni,Extra Cheese,,,15,29.85,0,29.85,
No Sales Category,Beef Pepperoni,Order Note: Pick up by Max.,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Pepperoni,,,10,29.9,0,29.9,
No Sales Category,Beef Pepperoni,Order Note: Well done,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Please put jalapeños on only half of the pizza,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Turkey Bacon,,,2,5.98,0,5.98,
No Sales Category,Beef Pepperoni,Side of jalapeño please.,,,1,0,0,0,
No Sales Category,Beef Pepperoni,No basil at all. And only put pepperonis on one side. Thanks!,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Order Note: This is our third time now. We love the pizzas!,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Black Olives,,,16,20.84,0,20.84,
No Sales Category,Beef Pepperoni,Italian Sausage,,,23,68.77,0,68.77,
No Sales Category,Beef Pepperoni,Can we get extra beef pepperoni please.,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Order Note: Please everything halal ( including bacon and pepperoni) thank you!,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Light sauce please,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Order Note: Hi| thanks for being open today.,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Extra pepperoni please,,,1,0,0,0,
No Sales Category,Beef Pepperoni,Can you please add ton of basil? Thank you!!,,,1,0,0,0,
No Sales Category,Naga Habanero Mushroom,,,20.376610169491524,65,1322.14,0,1322.14,
No Sales Category,Naga Habanero Mushroom,16" XLARGE,,,30,638.72,0,638.72,
No Sales Category,Naga Habanero Mushroom,Medium,,,43,0,0,0,
No Sales Category,Naga Habanero Mushroom,Black Olives,,,4,6.96,0,6.96,
No Sales Category,Naga Habanero Mushroom,Pepperoni,,,4,11.96,0,11.96,
No Sales Category,Naga Habanero Mushroom,Italian Sausage,,,2,5.98,0,5.98,
No Sales Category,Naga Habanero Mushroom,Order Note: Doordash Marketplace,,,3,0,0,0,
No Sales Category,Naga Habanero Mushroom,Green Peppers,,,2,1.98,0,1.98,
No Sales Category,Naga Habanero Mushroom,NO CILANTRO PLEASE,,,1,0,0,0,
No Sales Category,Naga Habanero Mushroom,Jalapeno,,,1,0.99,0,0.99,
No Sales Category,Naga Habanero Mushroom,:),,,1,0,0,0,
No Sales Category,Naga Habanero Mushroom,14" LARGE,,,35,639.65,0,639.65,
No Sales Category,Naga Habanero Mushroom,Onion,,,6,5.94,0,5.94,
No Sales Category,Naga Habanero Mushroom,Order Note: Please deliver hot at 720,,,1,0,0,0,
No Sales Category,Naga Habanero Mushroom,Spicy Balachao(Fermented Shrimp),,,1,1.99,0,1.99,
No Sales Category,Naga Habanero Mushroom,No cilantro,,,1,0,0,0,
No Sales Category,Naga Habanero Mushroom,No cilantro please.,,,1,0,0,0,
No Sales Category,Naga Habanero Mushroom,Spicy,,,12,0,0,0,
No Sales Category,Naga Habanero Mushroom,Mild,,,10,0,0,0,
No Sales Category,Naga Habanero Mushroom,Jhura Beef,,,2,5.98,0,5.98,
No Sales Category,Naga Habanero Mushroom,Sauteed Ghee Mushrooms,,,1,1.99,0,1.99,
No Sales Category,Chicken Wrap,,,8.158755555555556,134,1083.65,0,1083.65,
No Sales Category,Chicken Wrap,Harissa Aoili,,,11,0,0,0,
No Sales Category,Chicken Wrap,Ranch,,,21,0,0,0,
No Sales Category,Chicken Wrap,Order Note: Doordash Marketplace,,,5,0,0,0,
No Sales Category,Chicken Wrap,Very low spice please (MILD),,,2,0,0,0,
No Sales Category,Chicken Wrap,Extra spicy,,,1,0,0,0,
No Sales Category,Chicken Wrap,Garlic Mayo,,,32,0,0,0,
No Sales Category,Chicken Wrap,I want it be extra extra extra spicy,,,1,0,0,0,
No Sales Category,Chicken Wrap,Honey Mustard,,,4,0,0,0,
No Sales Category,Chicken Wrap,Jalapeño Ranch,,,4,0,0,0,
No Sales Category,Chicken Wrap,Spicy naga sauce on side please,,,1,0,0,0,
No Sales Category,Chicken Wrap,No onions,,,1,0,0,0,
No Sales Category,Chicken Wrap,My wife farha (mahmuda ahmed) will pick it up.,,,1,0,0,0,
No Sales Category,Chicken Wrap,Naga Habanero,,,64,0,0,0,
No Sales Category,Chicken Wrap,Extra Meat,,,1,0.99,0,0.99,
No Sales Category,Alfredo Cheese Pizza,,,18.666209349593498,94,1748.03,0,1748.03,
No Sales Category,Alfredo Cheese Pizza,14" LARGE,,,71,1198.29,0,1198.29,
No Sales Category,Alfredo Cheese Pizza,Order Note: Doordash Marketplace,,,17,0,0,0,
No Sales Category,Alfredo Cheese Pizza,Pepperoni,,,10,29.9,0,29.9,
No Sales Category,Alfredo Cheese Pizza,Order Note: Hilton Garden Inn,,,1,0,0,0,
No Sales Category,Alfredo Cheese Pizza,Spicy Balachao(Fermented Shrimp),,,1,1.99,0,1.99,
No Sales Category,Alfredo Cheese Pizza,Extra Cheese,,,1,1.99,0,1.99,
No Sales Category,Alfredo Cheese Pizza,Jhura Beef,,,1,2.99,0,2.99,
No Sales Category,Alfredo Cheese Pizza,Cilantro,,,1,0.99,0,0.99,
No Sales Category,Alfredo Cheese Pizza,Italian Sausage,,,7,20.93,0,20.93,
No Sales Category,Alfredo Cheese Pizza,Onion,,,1,0.99,0,0.99,
No Sales Category,Alfredo Cheese Pizza,Parsley on top,,,1,0,0,0,
No Sales Category,Alfredo Cheese Pizza,Mushrooms only on half please,,,1,0,0,0,
No Sales Category,Alfredo Cheese Pizza,16" XLARGE,,,23,424.3,0,424.3,
No Sales Category,Alfredo Cheese Pizza,Black Olives,,,9,9.91,0,9.91,
No Sales Category,Alfredo Cheese Pizza,Sauteed Ghee Mushrooms,,,5,9.95,0,9.95,
No Sales Category,Alfredo Cheese Pizza,Chicken Chunks,,,10,29.9,0,29.9,
No Sales Category,Alfredo Cheese Pizza,Turkey Bacon,,,3,8.97,0,8.97,
No Sales Category,Alfredo Cheese Pizza,Sausage only on half,,,1,0,0,0,
No Sales Category,Alfredo Cheese Pizza,Hot Honey,,,2,1.98,0,1.98,
No Sales Category,Alfredo Cheese Pizza,Jalapeno,,,1,0.99,0,0.99,
No Sales Category,Alfredo Cheese Pizza,Order Note: 848151,,,1,0,0,0,
No Sales Category,Alfredo Cheese Pizza,Green Peppers,,,4,3.96,0,3.96,
No Sales Category,Red Peppers Bags 3,,,0.899090909090909,25,22.75,0,22.75,
No Sales Category,Red Peppers Bags 3,Order Note: Doordash Marketplace,,,6,0,0,0,
No Sales Category,Spicy Italian,,,20.92,7,146.44,0,146.44,
No Sales Category,Spicy Italian,No onions please,,,1,0,0,0,
No Sales Category,Spicy Italian,14" LARGE,,,6,121.94,0,121.94,
No Sales Category,Spicy Italian,16" XLARGE,,,1,24.5,0,24.5,
No Sales Category,Naga Habanero Balachao,,,17.665294117647058,39,687.57,0,687.57,
No Sales Category,Naga Habanero Balachao,16" XLARGE,,,11,207.89,0,207.89,
No Sales Category,Naga Habanero Balachao,Medium,,,14,0,0,0,
No Sales Category,Naga Habanero Balachao,Green Peppers,,,1,0.99,0,0.99,
No Sales Category,Naga Habanero Balachao,Jalapeno,,,1,0.99,0,0.99,
No Sales Category,Naga Habanero Balachao,Sauteed Ghee Mushrooms,,,1,1.99,0,1.99,
No Sales Category,Naga Habanero Balachao,14" LARGE,,,28,472.72,0,472.72,
No Sales Category,Naga Habanero Balachao,Spicy,,,5,0,0,0,
No Sales Category,Naga Habanero Balachao,Order Note: Doordash Marketplace,,,2,0,0,0,
No Sales Category,Naga Habanero Balachao,Jhura Beef,,,1,2.99,0,2.99,
No Sales Category,Naga Habanero Balachao,Mild,,,5,0,0,0,
No Sales Category,Beef Taco Pizza,,,22.37376470588235,115,2572.79,0,2572.79,
No Sales Category,Beef Taco Pizza,Jhura Beef,,,1,2.99,0,2.99,
No Sales Category,Beef Taco Pizza,Order Note: Can you please cut it into small squares instead of slices!,,,1,0,0,0,
No Sales Category,Beef Taco Pizza,May I get extra cilantro it’s my birthday todayyyy,,,1,0,0,0,
No Sales Category,Beef Taco Pizza,please slice into 7 slices,,,1,0,0,0,
No Sales Category,Beef Taco Pizza,1/2 without cilantro and onions,,,1,0,0,0,
No Sales Category,Beef Taco Pizza,No cilantro on the top please. No Cilantro,,,1,0,0,0,
No Sales Category,Beef Taco Pizza,Order Note: SQUARE CUT PLEASE - ALL PIZZAS,,,1,0,0,0,
No Sales Category,Beef Taco Pizza,No onions please,,,1,0,0,0,
No Sales Category,Beef Taco Pizza,16" XLARGE,,,51,1195.49,0,1195.49,
No Sales Category,Beef Taco Pizza,Sauteed Ghee Mushrooms,,,1,1.99,0,1.99,
No Sales Category,Beef Taco Pizza,No onions,,,1,0,0,0,
No Sales Category,Beef Taco Pizza,Cilantro,,,1,0.99,0,0.99,
No Sales Category,Beef Taco Pizza,Order Note: Doordash Marketplace,,,4,0,0,0,
No Sales Category,Beef Taco Pizza,Jalapeno,,,3,2.97,0,2.97,
No Sales Category,Beef Taco Pizza,14" LARGE,,,64,1368.36,0,1368.36,
No Sales Category,Beef Taco Pizza,Please put onion only on half of the pizza,,,1,0,0,0,
No Sales Category,Beef Taco Pizza,No onion please,,,1,0,0,0,
No Sales Category,Beef Taco Pizza,No onions| please...I love onions but my wife has to be all bossy and say No Onions.,,,1,0,0,0,
No Sales Category,Beef Taco Pizza,I would like to pick up at 1pm. Please time my order accordingly if you can so it stays hot.,,,1,0,0,0,
No Sales Category,Beef Taco Pizza,Order Note: No cilantro on anything please. No cilantro,,,1,0,0,0,
No Sales Category,Mushroom Wrap,,,8.682307692307692,12,104.88,0,104.88,
No Sales Category,Mushroom Wrap,Ranch,,,2,0,0,0,
No Sales Category,Mushroom Wrap,Harissa Aoili,,,4,0,0,0,
No Sales Category,Mushroom Wrap,Garlic Mayo,,,3,0,0,0,
No Sales Category,Mushroom Wrap,No mozzarella and no cheddar| please,,,1,0,0,0,
No Sales Category,Mushroom Wrap,Honey Mustard,,,1,0,0,0,
No Sales Category,Mushroom Wrap,Naga Habanero,,,2,0,0,0,
No Sales Category,Cheddar Birds,,,21.046666666666667,27,569.7,0,569.7,
No Sales Category,Cheddar Birds,Light jalapeños,,,1,0,0,0,
No Sales Category,Cheddar Birds,Onion,,,2,1.98,0,1.98,
No Sales Category,Cheddar Birds,jalapeño only on half,,,1,0,0,0,
No Sales Category,Cheddar Birds,14" LARGE,,,15,301.85,0,301.85,
No Sales Category,Cheddar Birds,16" XLARGE,,,12,263.88,0,263.88,
No Sales Category,Cheddar Birds,Extra Cheese,,,1,1.99,0,1.99,
No Sales Category,Cheddar Birds,Well done,,,1,0,0,0,
No Sales Category,Cheddar Birds,Jalepenos on half please,,,1,0,0,0,
No Sales Category,Cheddar Birds,Lite cheddar cheese,,,1,0,0,0,
No Sales Category,Customized Pizza,,,22.27008064516129,72,1592.41,0,1592.41,
No Sales Category,Customized Pizza,Sauteed Ghee Mushrooms,,,19,37.81,0,37.81,
No Sales Category,Customized Pizza,Alfredo Sauce,,,12,0,0,0,
No Sales Category,Customized Pizza,Mushrooms only on half,,,1,0,0,0,
No Sales Category,Customized Pizza,Extra red sauce!!!
Only half pepperoni,,,1,0,0,0,
No Sales Category,Customized Pizza,No Cheese on the pizza,,,1,0,0,0,
No Sales Category,Customized Pizza,Double everything,,,1,0,0,0,
No Sales Category,Customized Pizza,Order Note: Double everything,,,1,0,0,0,
No Sales Category,Customized Pizza,Onion,,,21,20.79,0,20.79,
No Sales Category,Customized Pizza,Jhura Beef,,,5,14.95,0,14.95,
No Sales Category,Customized Pizza,Sharp Cheddar,,,2,3.98,0,3.98,
No Sales Category,Customized Pizza,Extra Cheese,,,7,13.93,0,13.93,
No Sales Category,Customized Pizza,HALF the usual amount of cheese please| DOUBLE the usual amount of sauce please,,,1,0,0,0,
No Sales Category,Customized Pizza,No cheese please- I know it’s weird.,,,1,0,0,0,
No Sales Category,Customized Pizza,Turkey Bacon on only half of the pizza| please.,,,1,0,0,0,
No Sales Category,Customized Pizza,Please extra sauce & please please can you write on the box “Pizza on me” I’m ordering for my family it’s a little joke between us please!,,,1,0,0,0,
No Sales Category,Customized Pizza,Red Sauce,,,60,0,0,0,
No Sales Category,Customized Pizza,14" LARGE,,,45,722.55,0,722.55,
No Sales Category,Customized Pizza,16" XLARGE,,,27,488.73,0,488.73,
No Sales Category,Customized Pizza,Jalapeno,,,12,11.88,0,11.88,
No Sales Category,Customized Pizza,Green Peppers,,,18,17.82,0,17.82,
No Sales Category,Customized Pizza,Turkey Bacon,,,8,23.92,0,23.92,
No Sales Category,Customized Pizza,Italian Sausage,,,14,41.86,0,41.86,
No Sales Category,Customized Pizza,Please  add parsley.,,,1,0,0,0,
No Sales Category,Customized Pizza,Black Olives,,,3,5.97,0,5.97,
No Sales Category,Customized Pizza,Parmesan,,,3,5.97,0,5.97,
No Sales Category,Customized Pizza,Jalapenos on Half| please! Thank you!,,,1,0,0,0,
No Sales Category,Customized Pizza,FOR A VEGAN: No cheese please| extra sauce if possible. thank you so much!,,,1,0,0,0,
No Sales Category,Customized Pizza,Chicken Chunks,,,13,38.87,0,38.87,
No Sales Category,Customized Pizza,Mozzarella,,,28,55.72,0,55.72,
No Sales Category,Customized Pizza,Pepperoni,,,27,80.73,0,80.73,
No Sales Category,Customized Pizza,Light on the tomato/pizza  sauce,,,1,0,0,0,
No Sales Category,Customized Pizza,Hot Honey,,,6,5.94,0,5.94,
No Sales Category,Customized Pizza,Order Note: Extra sauce on both pizzas please - and no cheese on the mushroom one; light amount of cheese on the green pepper one please,,,1,0,0,0,
No Sales Category,Customized Pizza,Cilantro,,,1,0.99,0,0.99,
No Sales Category,Bengali Beef Pesto (Contains Nuts),,,25.048447916666667,219,5484.01,0,5484.01,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Sauteed Ghee Mushrooms,,,4,7.96,0,7.96,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Half meat lovers,,,1,0,0,0,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Cut into squares if possible :),,,1,0,0,0,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Can I do half jhura beef and half spicy naga chicken pizza?,,,1,0,0,0,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Green Peppers,,,2,1.98,0,1.98,
No Sales Category,Bengali Beef Pesto (Contains Nuts),14" LARGE,,,154,3677.46,0,3677.46,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Hot Honey,,,3,2.97,0,2.97,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Jalapeno,,,2,1.98,0,1.98,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Order Note: Nakee will be picking it up,,,1,0,0,0,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Can I get a side of harissa sauce,,,1,0,0,0,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Order Note: Doordash Marketplace,,,8,0,0,0,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Onion,,,9,8.91,0,8.91,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Black Olives,,,2,2.98,0,2.98,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Turkey Bacon,,,1,2.99,0,2.99,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Jhura Beef,,,2,5.98,0,5.98,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Chicken Chunks,,,1,2.99,0,2.99,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Order Note: please do half jhura beef and half spicy naga chicken| medium spicy for the naga,,,1,0,0,0,
No Sales Category,Bengali Beef Pesto (Contains Nuts),If possible| please do half beef pesto/half chicken Alfredo pizza please,,,1,0,0,0,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Hot honey on the side,,,1,0,0,0,
No Sales Category,Bengali Beef Pesto (Contains Nuts),16" XLARGE,,,65,1757.86,0,1757.86,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Extra Cheese,,,5,9.95,0,9.95,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Order Note: Will be picked up by Zabir,,,1,0,0,0,
No Sales Category,Bengali Beef Pesto (Contains Nuts),Would like 1/2 Jura Beef and 1/2 Spicy Naga,,,1,0,0,0,
No Sales Category,Bongo Tex Mex,,,20.594107142857144,34,699.06,0,699.06,
No Sales Category,Bongo Tex Mex,Italian Sausage,,,1,2.99,0,2.99,
No Sales Category,Bongo Tex Mex,Order Note: Pick up by Shams Baiani,,,1,0,0,0,
No Sales Category,Bongo Tex Mex,Order Note: Doordash Marketplace,,,1,0,0,0,
No Sales Category,Bongo Tex Mex,Pepperoni,,,1,2.99,0,2.99,
No Sales Category,Bongo Tex Mex,16 inces XLARGE,,,13,274.38,0,274.38,
No Sales Category,Bongo Tex Mex,Chicken Chunks,,,2,5.98,0,5.98,
No Sales Category,Bongo Tex Mex,No onion please,,,1,0,0,0,
No Sales Category,Bongo Tex Mex,14" LARGE,,,21,400.79,0,400.79,
No Sales Category,Bongo Tex Mex,Sauteed Ghee Mushrooms,,,1,1.99,0,1.99,
No Sales Category,Bongo Tex Mex,Onion,,,1,0.99,0,0.99,
No Sales Category,Bongo Tex Mex,Jhura Beef,,,1,2.99,0,2.99,
No Sales Category,Bongo Tex Mex,Jalapeno,,,1,0.99,0,0.99,
No Sales Category,Bongo Tex Mex,No onions,,,2,0,0,0,
No Sales Category,Bongo Tex Mex,Hot Honey,,,2,1.98,0,1.98,
No Sales Category,Bongo Tex Mex,No jalapeños please,,,1,0,0,0,
No Sales Category,Bongo Tex Mex,Turkey Bacon,,,1,2.99,0,2.99,
No Sales Category,Paneer Wrap,,,8.49,12,101.88,0,101.88,
No Sales Category,Paneer Wrap,Order Note: Doordash Marketplace,,,1,0,0,0,
No Sales Category,Paneer Wrap,Harissa Aoili,,,4,0,0,0,
No Sales Category,Paneer Wrap,Jalapeño Ranch,,,2,0,0,0,
No Sales Category,Paneer Wrap,Ranch,,,2,0,0,0,
No Sales Category,Paneer Wrap,Garlic Mayo,,,2,0,0,0,
No Sales Category,Paneer Wrap,Naga Habanero,,,2,0,0,0,
No Sales Category,Garlic Artichoke,,,20.2375,4,80.95,0,80.95,
No Sales Category,Garlic Artichoke,Pepperoni,,,1,2.99,0,2.99,
No Sales Category,Garlic Artichoke,16" XLARGE,,,1,20.99,0,20.99,
No Sales Category,Garlic Artichoke,Pepperoni only on half| thanks!,,,1,0,0,0,
No Sales Category,Garlic Artichoke,14" LARGE,,,3,56.97,0,56.97,
No Sales Category,Hot Honey,,,1.99,187,372.13,0,372.13,
No Sales Category,Hot Honey,Order Note: Can you cut smaller slices? No big deal if not!,,,2,0,0,0,
No Sales Category,Hot Honey,Order Note: Hot honey on the side please,,,1,0,0,0,
No Sales Category,Hot Honey,Order Note: Knock plz,,,1,0,0,0,
No Sales Category,Hot Honey,Order Note: Doordash Marketplace,,,16,0,0,0,
No Sales Category,Korean BBQ,,,23.694318181818183,30,710.69,0,710.69,
No Sales Category,Korean BBQ,Cilantro,,,1,0.99,0,0.99,
No Sales Category,Korean BBQ,Chicken,,,5,0,0,0,
No Sales Category,Korean BBQ,16" XLARGE,,,6,151.94,0,151.94,
No Sales Category,Korean BBQ,Beef(Recommended),,,25,0,0,0,
No Sales Category,Korean BBQ,14" LARGE,,,24,557.76,0,557.76,
No Sales Category,Korean BBQ,Order Note: Doordash Marketplace,,,2,0,0,0,
No Sales Category,Beef Chopped Cheese,,,8.325142857142858,108,886.88,0,886.88,
No Sales Category,Beef Chopped Cheese,Honey Mustard,,,7,0,0,0,
No Sales Category,Beef Chopped Cheese,Extra Meat,,,2,5.98,0,5.98,
No Sales Category,Beef Chopped Cheese,Jalapeño Ranch,,,3,0,0,0,
No Sales Category,Beef Chopped Cheese,Ranch,,,7,0.99,0,0.99,
No Sales Category,Beef Chopped Cheese,Naga Habanero,,,49,0,0,0,
No Sales Category,Beef Chopped Cheese,Extra spicy,,,1,0,0,0,
No Sales Category,Beef Chopped Cheese,Sauce on the side| if possible please,,,1,0,0,0,
No Sales Category,Beef Chopped Cheese,Harissa Aoili,,,7,0,0,0,
No Sales Category,Beef Chopped Cheese,Order Note: extra napkins,,,1,0,0,0,
No Sales Category,Beef Chopped Cheese,No bell peppers,,,1,0,0,0,
No Sales Category,Beef Chopped Cheese,No dairy or cheese. Dairy| soy| and egg allergy,,,1,0,0,0,
No Sales Category,Beef Chopped Cheese,No bell pepper,,,2,0,0,0,
No Sales Category,Beef Chopped Cheese,Garlic Mayo,,,39,0.99,0,0.99,
No Sales Category,Beef Chopped Cheese,Light on the cheese,,,1,0,0,0,
No Sales Category,Beef Chopped Cheese,Add Chopped Chillis,,,1,0,0,0,
No Sales Category,Beef Chopped Cheese,Order Note: Doordash Marketplace,,,4,0,0,0,
No Sales Category,Beef Chopped Cheese,Please keep the dressing on the side,,,1,0,0,0,
No Sales Category,Beef Chopped Cheese,no bell peppers and onions,,,2,0,0,0,
No Sales Category,Ranch,,,1.6335406698564594,414,661.86,0,661.86,
No Sales Category,Ranch,Order Note: Doordash Marketplace,,,33,0,0,0,
No Sales Category,Ranch,Order Note: TEST ORDER,,,1,0,0,0,
No Sales Category,Alfredo Pasta,,,11.97174418604651,53,637.11,0,637.11,
No Sales Category,Alfredo Pasta,pls remove the parsley,,,1,0,0,0,
No Sales Category,Alfredo Pasta,Chicken,,,28,83.72,0,83.72,
No Sales Category,Alfredo Pasta,No parsley pls,,,0,0,0,0,
No Sales Category,Alfredo Pasta,Order Note: Doordash Marketplace,,,8,0,0,0,
No Sales Category,Alfredo Pasta,No mushrooms please,,,1,0,0,0,
No Sales Category,Alfredo Pasta,no parsley,,,1,0,0,0,
No Sales Category,Alfredo Pasta,Ghee Mushroom,,,8,23.92,0,23.92,
No Sales Category,Side Cilantro,,,0.6416666666666667,6,3.85,0,3.85,
No Sales Category,Side Basil,,,0.594,11,6.53,0,6.53,
No Sales Category,Side Basil,Order Note: Doordash Marketplace,,,1,0,0,0,
No Sales Category,Water (small),,,1.99,11,21.89,0,21.89,
No Sales Category,Water (small),Water,,,1,0,0,0,
No Sales Category,Parmesan Bags 3,,,0.85,23,18.77,0,18.77,
No Sales Category,Parmesan Bags 3,Order Note: Doordash Marketplace,,,8,0,0,0,
No Sales Category,Side Banana Peppers,,,0.99,3,2.97,0,2.97,
