Time,Net Sales,Orders,Guests
12:00 AM,98.91,3,3,
1:00 AM,29.94,1,1,
3:00 AM,71.95,1,1,
4:00 AM,33.96,1,1,
7:00 AM,242.85,1,1,
10:00 AM,24.98,1,1,
11:00 AM,773.61,20,20,
12:00 PM,9594.92,247,247,
1:00 PM,7811.36,202,202,
2:00 PM,11856.08,247,247,
3:00 PM,13926.22,398,398,
4:00 PM,16769.42,468,468,
5:00 PM,29609.73,777,777,
6:00 PM,38158.74,1045,1045,
7:00 PM,33700.13,950,950,
8:00 PM,24683.7,773,773,
9:00 PM,19813.9,674,674,
10:00 PM,10309.87,393,393,
11:00 PM,2011.9,83,83,
