Time,Net Sales,Orders,Guests
12:00 AM,380.89,18,18,
3:00 AM,35.94,1,1,
5:00 AM,25.99,1,1,
11:00 AM,383.76,12,12,
12:00 PM,8077.13,242,242,
1:00 PM,6282.29,217,217,
2:00 PM,7907.12,244,244,
3:00 PM,11849.2,382,382,
4:00 PM,17227.1,520,520,
5:00 PM,31480.63,882,882,
6:00 PM,37710.7,1098,1098,
7:00 PM,33278.69,986,986,
8:00 PM,23993.41,757,757,
9:00 PM,18345.74,604,604,
10:00 PM,9742.95,316,316,
11:00 PM,2264.35,88,88,
